date,iso_week,open,high,low,close,volume,market_capitalization
2013-04-28,2013-17,135.3,135.98,132.1,134.21,,1500520000.0
2013-04-29,2013-17,134.44,147.49,134.0,144.54,,1491160000.0
2013-04-30,2013-17,144.0,146.93,134.05,139.0,,1597780000.0
2013-05-01,2013-17,139.0,139.89,107.72,116.99,,1542820000.0
2013-05-02,2013-17,116.38,125.6,92.28,105.21,,1292190000.0
2013-05-03,2013-17,106.25,108.13,79.1,97.75,,1180070000.0
2013-05-04,2013-17,98.1,115.0,92.5,112.5,,1089890000.0
2013-05-05,2013-18,112.9,118.8,107.14,115.91,,1254760000.0
2013-05-06,2013-18,115.98,124.66,106.64,112.3,,1289470000.0
2013-05-07,2013-18,112.25,113.44,97.7,111.5,,1248470000.0
2013-05-08,2013-18,109.6,115.78,109.6,113.57,,1219450000.0
2013-05-09,2013-18,113.2,113.46,109.26,112.67,,1259980000.0
2013-05-10,2013-18,112.8,122.0,111.55,117.2,,1255970000.0
2013-05-11,2013-18,117.7,118.68,113.01,115.24,,1311050000.0
2013-05-12,2013-19,115.64,117.45,113.44,115.0,,1288630000.0
2013-05-13,2013-19,114.82,118.7,114.5,117.98,,1279980000.0
2013-05-14,2013-19,117.98,119.8,110.25,111.5,,1315720000.0
2013-05-15,2013-19,111.4,115.81,103.5,114.22,,1242760000.0
2013-05-16,2013-19,114.22,118.76,112.2,118.76,,1274620000.0
2013-05-17,2013-19,118.21,125.3,116.57,123.02,,1319590000.0
2013-05-18,2013-19,123.5,125.25,122.3,123.5,,1379140000.0
2013-05-19,2013-20,123.21,124.5,119.57,121.99,,1376370000.0
2013-05-20,2013-20,122.5,123.62,120.12,122.0,,1368910000.0
2013-05-21,2013-20,122.02,123.0,121.21,122.88,,1363940000.0
2013-05-22,2013-20,122.89,124.0,122.0,123.89,,1374130000.0
2013-05-23,2013-20,123.8,126.93,123.1,126.7,,1384780000.0
2013-05-24,2013-20,126.3,133.85,125.72,133.2,,1413300000.0
2013-05-25,2013-20,133.1,133.22,128.9,131.98,,1489950000.0
2013-05-26,2013-21,131.99,136.0,130.62,133.48,,1478030000.0
2013-05-27,2013-21,133.5,135.47,124.7,129.75,,1495520000.0
2013-05-28,2013-21,129.77,130.58,125.6,129.0,,1454310000.0
2013-05-29,2013-21,129.0,132.59,127.66,132.3,,1446190000.0
2013-05-30,2013-21,132.25,132.25,127.0,128.8,,1483180000.0
2013-05-31,2013-21,128.8,129.9,126.4,129.0,,1445050000.0
2013-06-01,2013-21,128.81,129.78,127.2,129.3,,1445800000.0
2013-06-02,2013-22,129.3,129.4,115.05,122.29,,1451930000.0
2013-06-03,2013-22,122.5,122.5,116.0,122.22,,1376180000.0
2013-06-04,2013-22,120.74,123.84,119.1,121.42,,1357020000.0
2013-06-05,2013-22,121.4,123.47,119.9,121.65,,1365110000.0
